WorkPosition,Country,Question,Option
Project Manager,Macedonia,Question 1,option b
Project Manager,Macedonia,Question 2,option b
Project Manager,Macedonia,Question 3,option a
Project Manager,Macedonia,Question 4,option b
Project Manager,Macedonia,Question 5,option a
Project Manager,Macedonia,Question 6,option b
Project Manager,Macedonia,Question 7,option b
Project Manager,Macedonia,Question 8,option a
Project Manager,Macedonia,Question 9,option b
Project Manager,Macedonia,Question 10,option b
Project Manager,Macedonia,Question 11,option a
Project Manager,Macedonia,Question 12,option a
Project Manager,Macedonia,Question 13,option a
Project Manager,Macedonia,Question 14,option a
Project Manager,Macedonia,Question 15,option a
Project Manager,Macedonia,Question 16,option b
Project Manager,Macedonia,Question 17,option b
Project Manager,Macedonia,Question 18,option b
Project Manager,Macedonia,Question 19,option a
Project Manager,Macedonia,Question 20,option b
Project Manager,Macedonia,Question 21,option b
Project Manager,Macedonia,Question 22,option a
Project Manager,Macedonia,Question 23,option b
Project Manager,Macedonia,Question 24,option a
Project Manager,Macedonia,Question 25,option b
Project Manager,Macedonia,Question 26,option a
Project Manager,Macedonia,Question 27,option a
Project Manager,Macedonia,Question 28,option a
Project Manager,Macedonia,Question 29,option b
Project Manager,Canada,Question 1,option b
Project Manager,Canada,Question 2,option b
Project Manager,Canada,Question 3,option a
Project Manager,Canada,Question 4,option b
Project Manager,Canada,Question 5,option a
Project Manager,Canada,Question 6,option b
Project Manager,Canada,Question 7,option b
Project Manager,Canada,Question 8,option a
Project Manager,Canada,Question 9,option b
Project Manager,Canada,Question 10,option b
Project Manager,Canada,Question 11,option a
Project Manager,Canada,Question 12,option a
Project Manager,Canada,Question 13,option a
Project Manager,Canada,Question 14,option a
Project Manager,Canada,Question 15,option a
Project Manager,Canada,Question 16,option b
Project Manager,Canada,Question 17,option b
Project Manager,Canada,Question 18,option b
Project Manager,Canada,Question 19,option a
Project Manager,Canada,Question 20,option b
Project Manager,Canada,Question 21,option b
Project Manager,Canada,Question 22,option a
Project Manager,Canada,Question 23,option b
Project Manager,Canada,Question 24,option a
Project Manager,Canada,Question 25,option b
Project Manager,Canada,Question 26,option a
Project Manager,Canada,Question 27,option a
Project Manager,Canada,Question 28,option a
Project Manager,Canada,Question 29,option b
Project Manager,Spain,Question 1,option b
Project Manager,Spain,Question 2,option b
Project Manager,Spain,Question 3,option a
Project Manager,Spain,Question 4,option b
Project Manager,Spain,Question 5,option a
Project Manager,Spain,Question 6,option b
Project Manager,Spain,Question 7,option b
Project Manager,Spain,Question 8,option a
Project Manager,Spain,Question 9,option b
Project Manager,Spain,Question 10,option b
Project Manager,Spain,Question 11,option a
Project Manager,Spain,Question 12,option a
Project Manager,Spain,Question 13,option a
Project Manager,Spain,Question 14,option a
Project Manager,Spain,Question 15,option a
Project Manager,Spain,Question 16,option b
Project Manager,Spain,Question 17,option b
Project Manager,Spain,Question 18,option b
Project Manager,Spain,Question 19,option a
Project Manager,Spain,Question 20,option b
Project Manager,Spain,Question 21,option b
Project Manager,Spain,Question 22,option a
Project Manager,Spain,Question 23,option b
Project Manager,Spain,Question 24,option a
Project Manager,Spain,Question 25,option b
Project Manager,Spain,Question 26,option a
Project Manager,Spain,Question 27,option a
Project Manager,Spain,Question 28,option a
Project Manager,Spain,Question 29,option b
Project Manager,Argentina,Question 1,option b
Project Manager,Argentina,Question 2,option b
Project Manager,Argentina,Question 3,option a
Project Manager,Argentina,Question 4,option b
Project Manager,Argentina,Question 5,option a
Project Manager,Argentina,Question 6,option b
Project Manager,Argentina,Question 7,option b
