WorkPosition,Country,Question,Option
Project Manager,Macedonia,Question 1,option c
Project Manager,Macedonia,Question 2,option e
Project Manager,Macedonia,Question 3,option f
Project Manager,Macedonia,Question 4,option d
Project Manager,Macedonia,Question 5,option g
Project Manager,Macedonia,Question 6,option f
Project Manager,Macedonia,Question 7,option d
Project Manager,Macedonia,Question 8,option g
Project Manager,Macedonia,Question 9,option e
Project Manager,Macedonia,Question 10,option f
Project Manager,Macedonia,Question 11,option g
Project Manager,Macedonia,Question 12,option g
Project Manager,Macedonia,Question 13,option f
Project Manager,Macedonia,Question 14,option e
Project Manager,Macedonia,Question 15,option f
Project Manager,Macedonia,Question 16,option g
Project Manager,Canada,Question 1,option c
Project Manager,Canada,Question 2,option f
Project Manager,Canada,Question 3,option e
Project Manager,Canada,Question 4,option d
Project Manager,Canada,Question 5,option f
Project Manager,Canada,Question 6,option f
Project Manager,Canada,Question 7,option e
Project Manager,Canada,Question 8,option g
Project Manager,Canada,Question 9,option d
Project Manager,Canada,Question 10,option f
Project Manager,Canada,Question 11,option e
Project Manager,Canada,Question 12,option g
Project Manager,Canada,Question 13,option f
Project Manager,Canada,Question 14,option e
Project Manager,Canada,Question 15,option c
Project Manager,Canada,Question 16,option g
Project Manager,Spain,Question 1,option c
Project Manager,Spain,Question 2,option f
Project Manager,Spain,Question 3,option e
Project Manager,Spain,Question 4,option d
Project Manager,Spain,Question 5,option f
Project Manager,Spain,Question 6,option f
Project Manager,Spain,Question 7,option e
Project Manager,Spain,Question 8,option g
Project Manager,Spain,Question 9,option e
Project Manager,Spain,Question 10,option f
Project Manager,Spain,Question 11,option e
Project Manager,Spain,Question 12,option g
Project Manager,Spain,Question 13,option f
Project Manager,Spain,Question 14,option e
Project Manager,Spain,Question 15,option d
Project Manager,Spain,Question 16,option g
Project Manager,Argentina,Question 1,option c
Project Manager,Argentina,Question 2,option f
Project Manager,Argentina,Question 3,option e
Project Manager,Argentina,Question 4,option d
Project Manager,Argentina,Question 5,option f
Project Manager,Argentina,Question 6,option f
Project Manager,Argentina,Question 7,option e
Project Manager,Argentina,Question 8,option g
Project Manager,Argentina,Question 9,option c
Project Manager,Argentina,Question 10,option f
Project Manager,Argentina,Question 11,option e
Project Manager,Argentina,Question 12,option g
Project Manager,Argentina,Question 13,option f
Project Manager,Argentina,Question 14,option e
Project Manager,Argentina,Question 15,option d
Project Manager,Argentina,Question 16,option g
Project Manager,Germany,Question 1,option c
Project Manager,Germany,Question 2,option f
Project Manager,Germany,Question 3,option e
Project Manager,Germany,Question 4,option b
Project Manager,Germany,Question 5,option g
Project Manager,Germany,Question 6,option f
Project Manager,Germany,Question 7,option d
Project Manager,Germany,Question 8,option g
Project Manager,Germany,Question 9,option e
Project Manager,Germany,Question 10,option f
Project Manager,Germany,Question 11,option g
Project Manager,Germany,Question 12,option g
Project Manager,Germany,Question 13,option f
Project Manager,Germany,Question 14,option e
Project Manager,Germany,Question 15,option d
Project Manager,Germany,Question 16,option g
Project Manager,Malta,Question 1,option c
Project Manager,Malta,Question 2,option e
Project Manager,Malta,Question 3,option e
Project Manager,Malta,Question 4,option d
Project Manager,Malta,Question 5,option f
Project Manager,Malta,Question 6,option f
Project Manager,Malta,Question 7,option e
Project Manager,Malta,Question 8,option g
Project Manager,Malta,Question 9,option f
Project Manager,Malta,Question 10,option e
Project Manager,Malta,Question 11,option g
Project Manager,Malta,Question 12,option g
Project Manager,Malta,Question 13,option f
Project Manager,Malta,Question 14,option e
Project Manager,Malta,Question 15,option f
Project Manager,Malta,Question 16,option g
Project Manager,United Kingdom,Question 1,option c
Project Manager,United Kingdom,Question 2,option f
